ID_GVA46|FILLER|ESTADO_VTO|FECHA_VTO|IMPORTE_VT|N_COMP|T_COMP|ESTADO_UNI|IMP_VT_UNI|IMP_VT_EXT|IM_VT_UN_E|ALTERNATIVA_1|IMPORTE_TOTAL_1|ALTERNATIVA_2|IMPORTE_TOTAL_2|AJUSTA_COBRO_FECHA_ALTERNATIVA|UNIDADES_TOTAL_1|UNIDADES_TOTAL_2
4467||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002403|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4468||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002404|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4469||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002405|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4470||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002406|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4471||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002407|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4472||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002408|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4473||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002409|FAC|PEN|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4474||PEN|2023-02-10 00:00:00|5300,0000000|B0000300002410|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4475||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002411|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4476||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002412|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4477||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002413|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4478||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002414|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4479||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002415|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4480||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002416|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4481||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002417|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4482||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002418|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4483||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002419|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4484||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002420|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
4485||PAG|2023-02-10 00:00:00|5300,0000000|B0000300002421|FAC|PAG|27,1800000|,0000000|,0000000|2023-02-20 00:00:00|5459,0000000|2023-03-02 00:00:00|5618,0000000|S|28,0000000|28,8100000
